property_title,type,unit_title,bedrooms,bathrooms,price,sq_foot,pets,fitness,parking,washer_dryer,agent_name,agent_phone,agent_email,agent_website,address,city,zip,state,latitude,longitude,available,description
Kales Building,rental,1 Bedroom,1,1,977-1550,,1,1,1,1,Carly Mys,313-963-7676,Carly.Mys@gmail.com,http://kalesbuildingdetroit.com/,76 W. Adams,Detroit,48226,MI,,,0,"Sophisticated apartment living, in the heart of some of Detroit's top entertainment spots"
Kales Building,rental,2 bedroom,2,1.5,1610-1800,,1,1,1,1,Carly Mys,313-963-7676,Carly.Mys@gmail.com,http://kalesbuildingdetroit.com/,76 W. Adams,Detroit,48226,MI,,,0,"Sophisticated apartment living, in the heart of some of Detroit's top entertainment spots"
Kales Building,rental,2 bedroom,2,2,1800-2500,,1,1,1,1,Carly Mys,313-963-7676,Carly.Mys@gmail.com,http://kalesbuildingdetroit.com/,76 W. Adams,Detroit,48226,MI,,,0,"Sophisticated apartment living, in the heart of some of Detroit's top entertainment spots"
Malcolmson Building,rental,3 Bedroom,3,2,1810-1950,,1,0,1,1,Bedrock,800-771-6311,info@malcomsondetroit.com,http://malcomsondetroit.com/,1215 Griswold,Detroit,48226,MI,,,1,Newly renovated luxury apartments downtown on Capitol Park
Riverfront Towers,rental,2 Bedroom,2,2,1500,,1,1,1,1,The Loft Warehouse,313-658-6400,sabra@theloftwarehouse.com,http://theloftwarehouse.com/index.php?option=com_iproperty&view=property&id=309&Itemid=181,300 Riverfront,Detroit,48226,MI,,,1,Riverfront living with convenient on-site amenities
Riverfront Towers,rental,1 Bedroom,1,1.5,1015-1025,,1,1,1,1,Pamela Yancy,313-393-5000,riverfront@haymanco.com,http://www.liveriverfrontdetroit.com/,250 Riverfront Dr,Detroit,48226,MI,,,0,Riverfront living with convenient on-site amenities
David Whitney Building,rental,1 Bedroom,1,1,1050-1950,,1,1,1,0,Michael Martorelli,313-782-4056,Residences@davidwhitneybuilding.com,http://davidwhitneybuilding.com/#/residences,1 Park Ave,Detroit,48226,MI,,,0,Luxury rentals in a historic downtown skyscraper
David Whitney Building,rental,2 bedroom,2,2,2275-2600,,1,1,1,0,Michael Martorelli,313-782-4056,Residences@davidwhitneybuilding.com,http://davidwhitneybuilding.com/#/residences,1 Park Ave,Detroit,48226,MI,,,0,Luxury rentals in a historic downtown skyscraper
David Whitney Building,,3 Bedroom,3,2,3150-3750,,1,1,1,0,Michael Martorelli,313-782-4056,Residences@davidwhitneybuilding.com,http://davidwhitneybuilding.com/#/residences,1 Park Ave,Detroit,48226,MI,,,0,Luxury rentals in a historic downtown skyscraper
Lofts @ Woodward Center,rental,1 Bedroom,2,2,1837,,1,0,1,1,Carrie Cohen,313-496-3000,cohen@farbman.com,http://www.loftsatwoodwardcenter.com/,1448 Woodward Ave,Detroit,48226,MI,,,0,Lofty spots in a prime downtown location
Lofts @ Woodward Center,rental,1 Bedroom,1,1,1937,,1,0,1,1,Carrie Cohen,313-496-3000,cohen@farbman.com,http://www.loftsatwoodwardcenter.com/,1448 Woodward Ave,Detroit,48226,MI,,,0,Lofty spots in a prime downtown location
Lofts @ Woodward Center,rental,Studio Penthouse,0,1,1914,,1,0,1,1,Carrie Cohen,313-496-3000,cohen@farbman.com,http://www.loftsatwoodwardcenter.com/,1448 Woodward Ave,Detroit,48226,MI,,,0,Lofty spots in a prime downtown location
Lofts @ Woodward Center,rental,1 Bedroom,1,1,1975,,1,0,1,1,Carrie Cohen,313-496-3000,cohen@farbman.com,http://www.loftsatwoodwardcenter.com/,1448 Woodward Ave,Detroit,48226,MI,,,0,Lofty spots in a prime downtown location
Lofts of Merchants Row,rental,Studio,0,1,885,,1,0,1,1,Sigrid Peterson,313-962-2940,peterson@schostak.com,http://www.loftsofmerchantsrow.com/,1247 Woodward Ave,Detroit,48226,MI,,,0,"Loft living, in the heart of downtown"
Lofts of Merchants Row,rental,1 Bedroom,1,1,1070,,1,0,1,1,Sigrid Peterson,313-962-2940,peterson@schostak.com,http://www.loftsofmerchantsrow.com/,1247 Woodward Ave,Detroit,48226,MI,,,0,"Loft living, in the heart of downtown"
Lofts of Merchants Row,rental,2 bedroom,2,2,1600,,1,0,1,1,Sigrid Peterson,313-962-2940,peterson@schostak.com,http://www.loftsofmerchantsrow.com/,1247 Woodward Ave,Detroit,48226,MI,,,0,"Loft living, in the heart of downtown"
Lofts of Merchants Row,rental,3 Bedroom,3,2,2625,,1,0,1,1,Sigrid Peterson,313-962-2940,peterson@schostak.com,http://www.loftsofmerchantsrow.com/,1247 Woodward Ave,Detroit,48226,MI,,,0,"Loft living, in the heart of downtown"
Broderick Tower,rental,Studio,0,1,1125,,1,0,1,1,Tanisha Warren,313-596-6000,info@brodericktower.com,http://www.brodericktower.com/,10 Witherell,Detroit,48226,MI,,,1,Sophisticated downtown living in this historic 34-story tower
Broderick Tower,rental,2 bedroom,2,2.5,5000,,1,0,1,1,Tanisha Warren,313-596-6000,info@brodericktower.com,http://www.brodericktower.com/,10 Witherell,Detroit,48226,MI,,,1,Sophisticated downtown living in this historic 34-story tower
Broderick Tower,rental,2 bedroom,2,1.5,2100-2175,,1,0,1,1,Tanisha Warren,313-596-6000,info@brodericktower.com,http://www.brodericktower.com/,10 Witherell,Detroit,48226,MI,,,1,Sophisticated downtown living in this historic 34-story tower
Broderick Tower,rental,3 Bedroom,3,1.5,3800-4210,,1,0,1,1,Tanisha Warren,313-596-6000,info@brodericktower.com,http://www.brodericktower.com/,10 Witherell,Detroit,48226,MI,,,1,Sophisticated downtown living in this historic 34-story tower
Security Trust Lofts,rental,1 Bedroom,1,1,1550,,1,1,1,1,Modern City Living,248-254-4008,living@securitytrustlofts.com,http://detroit.craigslist.org/wyn/apa/5064565584.html,735 Griswold St,Detroit,48226,MI,,,0,"Newer, modern lofts in Detroit's Central Business District"
Security Trust Lofts,rental,2 bedroom,2,1,2350,,1,1,1,1,Modern City Living,248-254-4008,living@securitytrustlofts.com,http://securitytrustlofts.com/,735 Griswold St,Detroit,48226,MI,,,0,"Newer, modern lofts in Detroit's Central Business District"
New Cadillac Square,rental,1 Bedroom,1,1,650-875,,1,0,0,0,Chris Schim,313-962-0718,cadillac.square@yahoo.com,http://www.newcadillacsquare.com/index.html,111 Cadillac Square,Detroit,48226,MI,,,0,"Some of the most affordable downtown living, in a historic high rise"
Iodent Lofts,rental,1 Bedroom,1,1,2150,,1,0,1,0,The Loft Warehouse,313-963-4343,inquiries@iodentlofts.com,http://theloftwarehouse.com/index.php?option=com_iproperty&view=property&id=204&Itemid=181,2233 Park Ave,Detroit,48226,MI,,,0,Luxury designed lofts in the Central Business District
Iodent Lofts,rental,2 bedroom,2,2,2500,,1,0,1,0,The Loft Warehouse,313-963-4343,inquiries@iodentlofts.com,iodentlofts.com,2233 Park Ave,Detroit,48226,MI,,,0,Luxury designed lofts in the Central Business District
Studio One Apartments,rental,1 Bedroom,1,1,1120-1195,,1,1,1,1,Deidra Bowen,313-638-1746,info@studio1apartments.com,http://www.studio1apartments.com/index.php,4501 Woodward,Detroit,48201,MI,,,0,Newer loft living in Midtown
Studio One Apartments,rental,2 bedroom,2,1,1299,,1,1,1,1,Deidra Bowen,313-638-1746,info@studio1apartments.com,http://www.studio1apartments.com/index.php,4501 Woodward,Detroit,48201,MI,,,0,Newer loft living in Midtown
Studio One Apartments,rental,2 bedroom,2,2,1345-1419,,1,1,1,1,Deidra Bowen,313-638-1746,info@studio1apartments.com,http://www.studio1apartments.com/index.php,4501 Woodward,Detroit,48201,MI,,,0,Newer loft living in Midtown
Addison Apartments,rental,2 bedroom,2,1,1755,,1,0,1,1,Private Owner,313-643-5638,,https://hotpads.com/14-charlotte-st-detroit-mi-48201-w1awnx/penthouse/pad,14 Charlotte,Detroit,48201,MI,,,1,Historic property in Detroit's Midtown neighborhood
Ellington Lofts,rental,1 Bedroom,1,1,1300-1500,,1,1,1,1,Kevin Wobbe,313-550-4798,kevinwobbe@hotmail.com,Please Call or Email,3760 Woodward Ave,Detroit,48201,MI,,,0,"Loft-style apartments in Midtown, next door to Starbucks and Whole Foods"
Ellington Lofts,rental,2 bedroom,2,2,1800-2100,,1,1,1,1,Kevin Wobbe,313-550-4798,kevinwobbe@hotmail.com,Please Call or Email,3760 Woodward Ave,Detroit,48201,MI,,,0,"Loft-style apartments in Midtown, next door to Starbucks and Whole Foods"
Ellington Lofts,rental,1 bedroom,1,1.5,1750,,1,1,1,1,The Loft Warehouse,313-658-6400,sabra@theloftwarehouse.com,http://theloftwarehouse.com/index.php?option=com_iproperty&view=property&id=242&Itemid=181,3670 Woodward ,Detroit,48201,MI,,,0,"Loft-style apartments in Midtown, next door to Starbucks and Whole Foods"
Fee Apartments,rental,Studio,0,1,425-455,,1,0,1,0,Cass and Ferry Apartments,313-915-5533,cassandferry@gmail.com,http://www.cassandferry.com/#!fee-apartments/c14eb,68 W. Ferry ,Detroit,48202,MI,,,0,Historic apartments in Midtown
Fee Apartments,rental,1 Bedroom,1,1,625,,1,0,1,0,Cass and Ferry Apartments,313-915-5533,cassandferry@gmail.com,http://www.cassandferry.com/#!fee-apartments/c14eb,68 W. Ferry ,Detroit,48202,MI,,,0,Historic apartments in Midtown
Art Apartments,rental,1 Bedroom,1,1,565,,1,0,1,0,Cass and Ferry Apartments,313-915-5533,cassandferry@gmail.com,http://detroit.craigslist.org/wyn/apa/5369750981.html,78 W. Ferry,Detroit,48202,MI,,,1,Historic apartments in Midtown
295 E. Ferry,rental,1 Bedroom,1,1,1000,,0,0,1,1,Terry,313-832-1058,vsmdx-5445160172@hous.craigslist.org,http://detroit.craigslist.org/wyn/apa/5445160172.html,295 E. Ferry,Detroit,48202,MI,,,1,One bedroom apartment in Midtown house
The Verona,rental,1 Bedroom,1,1,625,,1,0,1,0,Cass and Ferry Apartments,313-915-5533,cassandferry@gmail.com,http://www.cassandferry.com/#!the-verona/c1iwd,96 W. Ferry,Detroit,48202,MI,,,0,Historic apartments in Midtown
The Verona,rental,4 bedroom,4,1,1600,,1,0,1,0,Cass and Ferry Apartments,313-915-5533,cassandferry@gmail.com,http://www.cassandferry.com/#!the-verona/c1iwd,96 W. Ferry,Detroit,48202,MI,,,0,Historic apartments in Midtown
The Lexington,rental,3 Bedroom,3,1,1200,,1,0,1,0,Cass and Ferry Apartments,313-915-5533,cassandferry@gmail.com,http://www.cassandferry.com/#!the-lexington/c27q,58 W. Ferry,Detroit,48202,MI,,,0,Historic apartments in Midtown
The Lexington,rental,1 Bedroom,1,1,500,,1,0,1,0,Cass and Ferry Apartments,313-915-5533,cassandferry@gmail.com,http://www.cassandferry.com/#!the-lexington/c27q,58 W. Ferry,Detroit,48202,MI,,,0,Historic apartments in Midtown
Taft Apartments,rental,Studio,0,1,525,,1,0,1,0,Cass and Ferry Apartments,313-915-5533,cassandferry@gmail.com,http://www.cassandferry.com/#!taft-apartments/c18it,5524 Cass Ave,Detroit,48202,MI,,,0,Historic apartments in Midtown
Taft Apartments,rental,1 Bedroom,1,1,625,,1,0,1,0,Cass and Ferry Apartments,313-915-5533,cassandferry@gmail.com,http://www.cassandferry.com/#!taft-apartments/c18it,5524 Cass Ave,Detroit,48202,MI,,,0,Historic apartments in Midtown
Arts and Crafts Building,rental,1 Bedroom,1,1,650,,1,0,1,0,Cass and Ferry Apartments,313-915-5533,cassandferry@gmail.com,http://www.cassandferry.com/#!arts-and-crafts-apartments/crwi,87 W. Ferry,Detroit,48202,MI,,,0,Historic apartments in Midtown
The Belcrest,rental,Studio,0,1,510,,1,0,1,0,Marcon Properties,313-831-5700,belcrestapts@hotmail.com,No Website ,5440 Cass Ave,Detroit,48202,MI,,,0,Affordable apartments near WSU
The Belcrest,rental,1 Bedroom,1,1,575-800,,1,0,1,0,Marcon Properties,313-831-5700,belcrestapts@hotmail.com,No Website ,5440 Cass Ave,Detroit,48202,MI,,,0,Affordable apartments near WSU
The Belcrest,rental,2 bedroom,2,1,850-900,,1,0,1,0,Marcon Properties,313-831-5700,belcrestapts@hotmail.com,No Website ,5440 Cass Ave,Detroit,48202,MI,,,0,Affordable apartments near WSU
Alexandrine Square,rental,Studio,0,1,400,,1,0,1,0,KMG Prestige,313-833-5004,http://rentlinx.kmgprestige.com/ContactCompany.aspx?PropertyID=280743,http://rentlinx.kmgprestige.com/667-W-Alexandrine-St-Detroit-MI-48201,667 Alexandrine St,Detroit,48201,MI,,,0,Historic apartments in the heart of Midtown
Alexandrine Square,rental,Studio,1,1,440,,1,0,1,0,KMG Prestige,313-833-5004,http://rentlinx.kmgprestige.com/ContactCompany.aspx?PropertyID=280743,http://rentlinx.kmgprestige.com/667-W-Alexandrine-St-Detroit-MI-48201,667 Alexandrine St,Detroit,48201,MI,,,0,Historic apartments in the heart of Midtown
Medical Center Court,rental,1 Bedroom,1,1,637,,1,0,1,0,Sakeena Keith,313-833-6055,skeith1stcity@att.net,mccdetroit.com,4276 St. Antoine ,Detroit,48201,MI,,,0,Apartment living in Midtown's Medical Center
Medical Center Court,rental,2 bedroom,2,1,722,,1,0,1,0,Sakeena Keith,313-833-6055,skeith1stcity@att.net,mccdetroit.com,4276 St. Antoine ,Detroit,48201,MI,,,0,Apartment living in Midtown's Medical Center
Medical Center Court,rental,3 Bedroom,3,1,773,,1,0,1,0,Sakeena Keith,313-833-6055,skeith1stcity@att.net,mccdetroit.com,4276 St. Antoine ,Detroit,48201,MI,,,0,Apartment living in Midtown's Medical Center
Midtown Place,rental,3 Bedroom,3,1.5,775,,1,0,1,0,KMG Prestige,313-831-9515,gjppt-5053306500@hous.craigslist.org,http://rentlinx.kmgprestige.com/641-Brainard-Street-Suite-1501-Detroit-MI-48201,641 Brainard,Detroit,48201,MI,,,1,Updated features and large floorplans at these Midtown apartments
The Barlum,rental,Studio,0,1,425-470,,0,0,1,0,Donita/Leslie,313-871-3138,Please Call,http://www.apartments.com/barlum-apartments-detroit-mi/p5yqt1s/,25 E Palmer,Detroit,48202,MI,,,0,Historic features at this Midtown residence
The Barlum,rental,1 Bedroom,1,1,600,,0,0,1,0,Donita/Leslie,313-871-3138,Please Call,http://www.apartments.com/barlum-apartments-detroit-mi/p5yqt1s/,25 E Palmer,Detroit,48202,MI,,,0,Historic features at this Midtown residence
The Park Shelton,rental,1 Bedroom,1,2,1850,,1,0,1,1,Deidra Anderson,313-872-7275 x100,danderson@brgmi.com,theparkshelton.com,15 E Kirby ,Detroit,48202,MI,,,1,"A sophisticated historic home in the heart of Detroit’s cultural center, and a lobby filled with shops and restaurants"
The Park Shelton,rental,3 Bedroom,3,2,2350,,1,1,1,1,Deidra Anderson,313-872-7275 x100,danderson@brgmi.com,theparkshelton.com,15 E Kirby ,Detroit,48202,MI,,,1,"A sophisticated historic home in the heart of Detroit’s cultural center, and a lobby filled with shops and restaurants"
The Park Shelton,rental,2 bedroom,2,2,2000,,1,1,1,1,Deidra Anderson,313-872-7275 x100,danderson@brgmi.com,theparkshelton.com,15 E Kirby ,Detroit,48202,MI,,,0,"A sophisticated historic home in the heart of Detroit’s cultural center, and a lobby filled with shops and restaurants"
Palmer Court Townhomes,rental,2 bedroom,2,2,799-999,,1,0,1,1,Continental Management,313-871-4621,Please Call,http://continentalmgt.rentlinx.com/5721-Saint-Antoine-St-Detroit-MI-48202,5721 St. Antoine,Detroit,48202,MI,,,0,Spacious Midtown townhomes with lots of amenities (under construction)
Palmer Court Townhomes,rental,3 Bedroom,3,2,833-1150,,1,0,1,1,Continental Management,313-871-4621,Please Call,http://continentalmgt.rentlinx.com/5721-Saint-Antoine-St-Detroit-MI-48202,5721 St. Antoine,Detroit,48202,MI,,,0,Spacious Midtown townhomes with lots of amenities (under construction)
Newberry Hall,rental,2 bedroom,2,1,1750,,1,0,1,0,Meg Provenzino,313-831-5100,71Garfield@gmail.com,http://detroit.craigslist.org/wyn/apa/5451952606.html,100 E Willis,Detroit,48201,MI,,,1,Renovated apartment homes ina historic Midtown building
Mt. Vernon Apartments,rental,Studio,0,1,415,,1,0,0,0,Naisha,313-831-2878,Please Call,No Website ,677 W Alexandrine,Detroit,48201,MI,,,0,Historic apartments in Midtown
Mt. Vernon Apartments,rental,1 Bedroom,1,1,455,,1,0,0,0,Naisha,313-831-2878,Please Call,No Website ,677 W Alexandrine,Detroit,48201,MI,,,0,Historic apartments in Midtown
Mt. Vernon Apartments,rental,2 bedroom,2,1,600,,1,0,0,0,Naisha,313-831-2878,Please Call,No Website ,677 W Alexandrine,Detroit,48201,MI,,,0,Historic apartments in Midtown
3909 Woodward ,rental,1 Bedroom,1,1,1000-1260,,1,0,1,1,April Dawson,248-990-8002,3909Woodward@gmail.com,http://3909woodward.com/,3909 Woodward,Detroit,48201,MI,,,0,"New, modern lofts in Midtown"
3909 Woodward ,rental,2 bedroom,2,2,1600-1800,,1,0,1,1,April Dawson,248-990-8002,3909Woodward@gmail.com,http://3909woodward.com/,3909 Woodward,Detroit,48201,MI,,,0,"New, modern lofts in Midtown"
The Brentwood,rental,1 Bedroom,1,1,800-900,,1,0,1,0,Michael Martorelli,313-782-4056,michael@centercitydetroit.com,http://centercitydetroit.com/brentwood/,487 Prentis,Detroit,48201,MI,,,1,Newly renovated one bedroom apartments in Midtown
560 E. Kirby,rental,2 bedroom,2,2,2475,,0,0,1,0,Pendle Hill Equity,586-353-5836,Visit website or call,http://www.zillow.com/homedetails/560-E-Kirby-St-1-Detroit-MI-48202/2101790267_zpid/,560 E. Kirby,Detroit,48202,MI,,,0,"Luxury, renovated apartments in a historic building"
The Auburn,rental,Studio,0,1,830-900,,1,0,1,1,Michael Martorelli,313-782-4056,michael@centercitydetroit.com,http://centercitydetroit.com/the-auburn/,4240 Cass Ave,Detroit,48201,MI,,,0,New modern apartments in a top Midtown spot
The Auburn,rental,1 Bedroom,1,1,975-1050,,1,0,1,1,Michael Martorelli,313-782-4056,michael@centercitydetroit.com,http://centercitydetroit.com/the-auburn/,4240 Cass Ave,Detroit,48201,MI,,,0,New modern apartments in a top Midtown spot
Canfield Lofts,rental,1 Bedroom,1,1,1500,,1,0,1,1,Private Owner,Please Email,mtq3r-5053375913@hous.craigslist.org,http://detroit.craigslist.org/wyn/apa/5053375913.html,460 Canfield,Detroit,48201,MI,,,0,Luxury lofts in Midtown
Sherbrooke Manor,rental,1 Bedroom,1,1,1195,,1,0,1,1,Michael Martorelli,313-782-4056,michael@centercitydetroit.com,http://centercitydetroit.com/sherbrooke-manor/,615 W Hancock,Detroit,48201,MI,,,0,Historic apartments near Wayne State University
663 Prentis,rental,Studio,0,1,795,,1,0,1,1,Paris Griffin,248-414-5211,aweiss985@gmail.com,http://663prentis.com/,663 Prentis,Detroit,48201,MI,,,1,Newly renovated historic apartments in Midtown
663 Prentis,rental,1 Bedroom,1,1,1045,,1,0,1,1,Paris Griffin,248-414-5211,aweiss985@gmail.com,http://663prentis.com/,663 Prentis,Detroit,48201,MI,,,1,Newly renovated historic apartments in Midtown
4759 Trumbull,rental,1 Bedroom,1,1,900,,1,0,1,0,Alejandro Pereira ,248-910-8826,http://securerealtyllc.com/contact/,https://hotpads.com/4759-trumbull-st-detroit-mi-48208-tsbqpn/2f/pad,4759 Trumbull,Detroit,48208,MI,,,1,Renovated house in historic Woodbridge neighborhood with a quirky theme
Sherbrooke Manor,rental,2 bedroom,2,2,1450-1650,,1,0,1,1,Michael Martorelli,313-782-4056,michael@centercitydetroit.com,http://centercitydetroit.com/sherbrooke-manor/,615 W Hancock,Detroit,48201,MI,,,0,Historic apartments near Wayne State University
Garden Lofts at Woodward Place,rental,2 bedroom,2,2,1800,,1,0,1,1,Property Sellers,586-260-9000,https://hotpads.com/66-winder-st-detroit-mi-48201-smw9z7/apt-449/pad,https://hotpads.com/66-winder-st-detroit-mi-48201-smw9z7/apt-449/pad,66 Winder,Detroit,48201,MI,,,1,Luxury lofts in Midtown
Garden Lofts ,rental,2 bedroom,2,2,1600-1800,,1,0,1,1,Kevin Wobbe,313-550-4798,kevinwobbe@hotmail.com,http://www.crosswindsus.com/michigan/detroit_garden_lofts_woodward_place/garden.htm,66 Winder,Detroit,48201,MI,,,0,Luxury lofts in Midtown
Lofts at New Amsterdam,rental,1 Bedroom,1,1,1375,,1,0,1,1,Marc Couillais,313-832-0200,info@jonna-detroitlofts.com,http://jonna-detroitlofts.com/new-amsterdam-lofts,6200 Second Ave,Detroit,48202,MI,,,0,Newly renovated loft development in New Center
Lofts at New Amsterdam,rental,3 Bedroom,3,2,2000,,1,0,1,1,Marc Couillais,313-832-0200,info@jonna-detroitlofts.com,http://jonna-detroitlofts.com/new-amsterdam-lofts,6200 Second Ave,Detroit,48202,MI,,,0,Newly renovated loft development in New Center
4425 John R. ,rental,3 Bedroom,3,1,1200,,0,0,1,0,Detroit Management,248-905-1246,Info@detroitmanagement.com,https://detroitmanagement.managebuilding.com/Resident/PublicPages/apartmentdetail.aspx?listingId=1549&unitid=32587&buildingid=8613,4425 John R. ,Detroit,48201,MI,,,1,Historic property in Midtown near CCS and WSU
504 E. Kirby,rental,2 bedroom,2,1,1199,,0,0,1,0,CADSIII Management,877-868-7608,xcv27-5422436210@hous.craigslist.org,http://detroit.craigslist.org/wyn/apa/5422436210.html,504 E. Kirby,Detroit,48202,MI,,,1,Historic building in Midtown near museums 
Palmer Townhomes,rental,3 Bedroom,3,3,2100,,1,0,1,1,Real Estate One,248-419-3211,lindamckeon@realestateone.com,"https://hotpads.com/269-e-palmer-st-detroit-mi-48202-ustvrb/pad#limit=4&lat=42.354121920651366&lon=-83.10852259397508&zoom=20&previewId=3zg96dp50m1xd&previewType=listing&detailsOpen=true&minLat=42.2482342209208&maxLat=42.4598315182106&minLon=-83.33219736814499&maxLon=-82.88484781980515&show_listing_sidebar=0&includeVaguePricing=false&listingTypes=rental,sublet,room,&propertyTypes=house,divided,condo,townhouse,medium,large,garden,&dupeGrouping=building",269 E. Palmer,Detroit,48202,MI,,,1,Newly constructed townhomes in Midtown
Palmer Townhomes,rental,3 Bedroom,3,4,2495-2545,,1,0,1,1,The Loft Warehouse,313-658-6400,sabra@theloftwarehouse.com,http://theloftwarehouse.com/index.php?option=com_iproperty&view=property&id=461&Itemid=181,293 E. Palmer,Detroit,48202,MI,,,1,Newly constructed townhomes in Midtown
Graphic Arts Lofts,rental,Studio,0,1,850,,1,0,1,1,Marc Couillais,313-832-0200,info@jonna-detroitlofts.com,http://jonna-detroitlofts.com/graphic-arts-lofts,41 Burroughs St,Detroit,48202,MI,,,0,Open concept lofts in Midtown
Graphic Arts Lofts,rental,1 Bedroom,1,1,1250,,1,0,1,1,Marc Couillais,313-832-0200,info@jonna-detroitlofts.com,http://detroit.craigslist.org/wyn/apa/5076883659.html,41 Burroughs St,Detroit,48202,MI,,,0,Open concept lofts in Midtown
Graphic Arts Lofts,rental,2 bedroom,2,1,1570,,1,0,1,1,Marc Couillais,313-832-0200,info@jonna-detroitlofts.com,http://jonna-detroitlofts.com/graphic-arts-lofts,41 Burroughs St,Detroit,48202,MI,,,0,Open concept lofts in Midtown
